id;torace;braccio;avambraccio;ombelico;fianchi;sotto_ombelico;vita;coscia;mese;data_inserimento;cliente_id
1;6048.3;7734.08;13278.94;18628.64;2443.91;22575.52;3565.8;8388.56;2;2024-12-12;1
2;27485.98;503.8;31818;7761.81;23112.35;21399.59;22462.78;22481.11;7;2024-12-13;2
3;2892.43;26076.25;3000.11;29852.04;13128.31;30017.68;29707.13;7449.33;4;2024-12-12;1
4;7966.17;32411.64;17948.53;32036.56;6468.73;11473.93;20755.14;7919.08;4;2024-12-12;2
5;6268.48;19296.55;6796.29;5346.41;30737.31;22901.57;7059.31;26133.55;8;2024-12-13;2
6;20147.96;9791.87;28885.84;26637.14;16234.39;970.5;22754.8;27293.37;11;2024-12-12;1
7;30489.32;9637.49;24878.52;30771.33;26158.38;8526.46;21608.61;3857.77;9;2024-12-13;1
8;20406.62;5120.87;27663.74;6419.12;10360.73;6588.55;24396.66;23153.46;8;2024-12-12;2
9;21795.85;5876.26;23589.5;6661.64;2992.32;15341.19;32687.8;30352.73;12;2024-12-13;2
10;18027.35;18541.32;143.63;7849.22;23251.96;27082.39;19576.88;28701.53;2;2024-12-13;1
