id;tempo_limite;tempo_impiegato;catena_ripetizioni;circuiti_completati;svolto;completato;feedback;allenamento_giornaliero_id
1;18703;6010;bleak shady a;18597;true;false;../fake-data/blob/hipster.txt;1
2;20354;7001;telescope boom an;2739;false;false;../fake-data/blob/hipster.txt;2
3;26859;10734;newsletter;15591;true;false;../fake-data/blob/hipster.txt;3
4;19656;32246;woeful superb;12260;false;true;../fake-data/blob/hipster.txt;4
5;14623;11838;finally obnoxiously;4597;true;false;../fake-data/blob/hipster.txt;5
6;23773;785;readily slime;15868;false;true;../fake-data/blob/hipster.txt;6
7;18468;17922;gadzooks willfully;6938;false;false;../fake-data/blob/hipster.txt;7
8;6372;27184;wonderful amid;20235;true;false;../fake-data/blob/hipster.txt;8
9;14256;24668;amidst;3648;true;false;../fake-data/blob/hipster.txt;9
10;2595;10219;relative that;2295;true;false;../fake-data/blob/hipster.txt;10
