id;data_creazione;mese;tipo;macros;fabbisogno_calorico;cliente_id
1;2024-12-12;10;readmit;dereference unbearably;aw reorganisation key;1
2;2024-12-12;3;immediate oh;shyly whenever;collectivization whoever gurn;2
3;2024-12-12;3;sadly;noisily overspend;aha but;2
4;2024-12-12;9;sticker fall tackle;forenenst chairperson;geez ouch yum;1
5;2024-12-12;7;tangible oxidise;officially;shore reflate;2
6;2024-12-12;6;unlike;helplessly;ouch;1
7;2024-12-12;2;mmm;diversity essay faithfully;observe;2
8;2024-12-12;12;round once chapel;trial fooey;in;2
9;2024-12-13;10;cool democratize;hm boohoo joyously;part eek configuration;2
10;2024-12-12;3;breed grumpy prickly;rust metal which;authentic;1
