id;nome;tipo;video_url;descrizione;foto;foto_content_type
1;relative;CORE;between;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
2;enlist;KOMBAT;floodlight mesh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
3;zowie whoever stool;FULLBODY;untried;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
4;phew opposite deficient;CORE;halt afore;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
5;trial doing;FULLBODY;and with;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
6;cruelty ack positively;LOWERBODY;to;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
7;homeschool pfft address;KOMBAT;bonnet regarding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
8;or dark;CORE;hm accidentally painfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
9;worth amongst;POSTURALE;rightfully after;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
10;beneath;FULLBODY;jovially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png
