id;titolo;descrizione;punti_focali;video_url;corso_academy_id
1;commonly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;what amid;1
2;orchestrate bah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;expensive;2
3;geez embossing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sweetly ew;3
4;tut;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;enhance;4
5;considering stabilise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;option;5
6;provided;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;who until arrogantly;6
7;delight;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;toward besides yowza;7
8;leap scarcely but;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;kindly;8
9;toward abaft attest;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;simple;9
10;readily if;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;gracefully;10
