id;tricipite;petto;ascella;sottoscapolare;soprailliaca;addome;coscia;mese;data_inserimento;cliente_id
1;22938.8;22098.58;21899.4;27914.35;9012.89;27530.08;23877.39;3;2024-12-12;1
2;13349.06;18297.18;17354.19;12691.2;30372.51;8275.93;5094.21;7;2024-12-12;2
3;26612.16;25734.57;23587.16;4627.21;26875.12;27141.82;8839.98;7;2024-12-13;1
4;30721.18;3666.68;24879.25;5067.06;25959.81;29412.62;23217.24;11;2024-12-12;1
5;13085.15;8434.03;9644.73;27059.66;21447.23;16503.87;28075.63;4;2024-12-13;2
6;6483.45;19981.7;30769.39;30289.01;18651.26;18013.73;6987.5;6;2024-12-12;1
7;25850.28;21928.93;16059.94;12674.95;28036.5;6064.52;13815.27;7;2024-12-13;2
8;32584.17;15056.99;32143.81;6974.77;22235.42;18269.92;6446.82;12;2024-12-12;1
9;14521.49;24734.26;3339.76;18474.33;20548.94;5621.76;23630.45;6;2024-12-12;1
10;8597.02;4459.29;10573.07;24363.73;32658.25;32181.71;28975.57;7;2024-12-12;2
